"","date","hour","TemperatureF","KwH"
"1",2016-10-01,0,57.9,128.738602704063
"2",2016-10-01,1,57.9,139.886552590838
"3",2016-10-01,2,57.9,134.040389497264
"4",2016-10-01,3,57,132.024732913892
"5",2016-10-01,4,57,129.143552718233
"6",2016-10-01,5,57,130.112457822357
"7",2016-10-01,6,57,129.207341511948
"8",2016-10-01,7,55.9,259.435304861551
"9",2016-10-01,8,55.9,255.61445274851
"10",2016-10-01,9,55.9,255.337558523099
"11",2016-10-01,10,57,249.409484511916
"12",2016-10-01,11,57.45,254.167986042005
"13",2016-10-01,12,57.9,257.107913289374
"14",2016-10-01,13,57.9,256.422849181091
"15",2016-10-01,14,57,253.806220630055
"16",2016-10-01,15,55.9,250.878467099409
"17",2016-10-01,16,55,248.261838548373
"18",2016-10-01,17,55,246.433017581273
"19",2016-10-01,18,55.9,246.281292896315
"20",2016-10-01,19,55.9,242.372945081684
"21",2016-10-01,20,55,109.841610485106
"22",2016-10-01,21,55,110.06712475595
"23",2016-10-01,22,55,105.542801200052
"24",2016-10-01,23,55,104.114527270197
"25",2016-10-02,0,55.45,106.731457835922
"26",2016-10-02,1,54,103.273782360087
"27",2016-10-02,2,53.1,100.351026396897
"28",2016-10-02,3,53.1,99.3385451955406
"29",2016-10-02,4,54,100.359670907655
"30",2016-10-02,5,53.8,96.5444660676189
"31",2016-10-02,6,54,95.6390249044362
"32",2016-10-02,7,54,227.554404523867
"33",2016-10-02,8,54,226.254244608152
"34",2016-10-02,9,55,218.999776085353
"35",2016-10-02,10,55.9,214.375066435844
"36",2016-10-02,11,55.9,212.954415351616
"37",2016-10-02,12,55.9,211.533764267388
"38",2016-10-02,13,56.45,212.144139749691
"39",2016-10-02,14,55.7333333333333,211.409512739317
"40",2016-10-02,15,56.45,209.200795110517
"41",2016-10-02,16,57,210.542720818243
"42",2016-10-02,17,55.9,204.430508846247
"43",2016-10-02,18,57,207.275995836517
"44",2016-10-02,19,55.9,201.997376560662
"45",2016-10-02,20,55.9,69.0909450692821
"46",2016-10-02,21,55.9,67.8743789264897
"47",2016-10-02,22,56.45,68.484754408793
"48",2016-10-02,23,55.9,65.237161699469
"49",2016-10-03,0,55.9,110.08186493131
"50",2016-10-03,1,55.9,107.517456988264
"51",2016-10-03,2,55.9,106.096805904036
"52",2016-10-03,3,55.9,103.762347928386
"53",2016-10-03,4,55.9,100.952744326692
"54",2016-10-03,5,57,103.696188846244
"55",2016-10-03,6,57.45,104.104779055827
"56",2016-10-03,7,57.9,234.250941846773
"57",2016-10-03,8,62.1,246.233447665751
"58",2016-10-03,9,64,250.296348275349
"59",2016-10-03,10,66,254.358832769638
"60",2016-10-03,11,66.9,253.208120890246
"61",2016-10-03,12,66,250.59149233921
"62",2016-10-03,13,64.9,245.904107850452
"63",2016-10-03,14,64,244.621687444259
"64",2016-10-03,15,64,243.405121301466
"65",2016-10-03,16,62.1,235.374562426817
"66",2016-10-03,17,59,225.429147338188
"67",2016-10-03,18,59,224.620751078267
"68",2016-10-03,19,59,222.37027440471
"69",2016-10-03,20,59.7333333333333,92.8591681525614
"70",2016-10-03,21,60.1,93.9592623654845
"71",2016-10-03,22,59,91.6437636591458
"72",2016-10-03,23,58.45,88.645565560455
"73",2016-10-04,0,59,136.896776422345
"74",2016-10-04,1,59,135.986337691706
"75",2016-10-04,2,59,138.110208595378
"76",2016-10-04,3,57.9,132.406166506253
"77",2016-10-04,4,57.9,129.90349855494
"78",2016-10-04,5,57.9,128.891017353583
"79",2016-10-04,6,58.45,127.394091903235
"80",2016-10-04,7,60.1,264.942328758398
"81",2016-10-04,8,61,267.08862780968
"82",2016-10-04,9,62.1,269.223584611738
"83",2016-10-04,10,62.55,271.200350873835
"84",2016-10-04,11,62.1,270.550482387812
"85",2016-10-04,12,61,267.934686067394
"86",2016-10-04,13,61,266.514034983166
"87",2016-10-04,14,60.1,264.602106822268
"88",2016-10-04,15,60.1,265.145171637588
"89",2016-10-04,16,57.9,259.172022574245
"90",2016-10-04,17,55.9,253.084575677243
"91",2016-10-04,18,55,252.1622188176
"92",2016-10-04,19,55,247.695834966738
"93",2016-10-04,20,54,112.151761710224
"94",2016-10-04,21,53.1,109.223175948959
"95",2016-10-04,22,52,103.627006128627
"96",2016-10-04,23,51.1,100.698420367362
"97",2016-10-05,0,50,141.762141090561
"98",2016-10-05,1,50,141.987655361404
"99",2016-10-05,2,50,140.36291933574
"100",2016-10-05,3,48,134.544916646893
"101",2016-10-05,4,48.9,134.071818858528
"102",2016-10-05,6,48.9,131.944813985097
"103",2016-10-05,7,51.1,267.573269089426
"104",2016-10-05,8,55,275.968162036923
"105",2016-10-05,9,57.9,281.334496266813
"106",2016-10-05,10,59,284.701618742996
"107",2016-10-05,11,59,283.280967658768
"108",2016-10-05,12,60.1,283.684969565434
"109",2016-10-05,13,59,280.03149560744
"110",2016-10-05,14,59,279.036267336481
"111",2016-10-05,15,57.9,273.940712964851
"112",2016-10-05,16,57,271.119999472379
"113",2016-10-05,17,55.9,267.062122738326
"114",2016-10-05,18,55,263.815986432584
"115",2016-10-05,19,55,262.599420289792
"116",2016-10-05,20,55,128.454993326212
"117",2016-10-05,21,55,127.23842718342
"118",2016-10-05,22,54,122.771964451185
"119",2016-10-05,23,52,115.259690070945
"120",2016-10-06,0,52,161.219056623348
"121",2016-10-06,1,51.1,157.160347658676
"122",2016-10-06,2,50,151.677643441385
"123",2016-10-06,3,51.1,154.319045490219
"124",2016-10-06,4,50,151.391291959573
"125",2016-10-06,5,48.9,146.316757625154
"126",2016-10-06,6,48.9,146.746356837433
"127",2016-10-06,7,52,284.188874030952
"128",2016-10-06,8,55,292.313827773613
"129",2016-10-06,9,57.9,299.536005634258
"130",2016-10-06,10,59,299.197034183178
"131",2016-10-06,11,62.1,305.509594481631
"132",2016-10-06,12,63,305.914428618916
"133",2016-10-06,13,64,307.265904940073
"134",2016-10-06,14,66,309.759650386638
